sex,x,L,M,S
M,570,1,82.9759,0.03301
M,571,1,83.008,0.03302
M,572,1,83.04,0.03303
M,573,1,83.0721,0.03304
M,574,1,83.1041,0.03305
M,575,1,83.136,0.03306
M,576,1,83.168,0.03308
M,577,1,83.1999,0.03309
M,578,1,83.2318,0.0331
M,579,1,83.2637,0.03311
M,580,1,83.2955,0.03312
M,581,1,83.3273,0.03313
M,582,1,83.3591,0.03314
M,583,1,83.3908,0.03315
M,584,1,83.4226,0.03316
M,585,1,83.4543,0.03317
M,586,1,83.4859,0.03318
M,587,1,83.5176,0.03319
M,588,1,83.5492,0.0332
M,589,1,83.5808,0.03321
M,590,1,83.6124,0.03322
M,591,1,83.6439,0.03323
M,592,1,83.6754,0.03324
M,593,1,83.7069,0.03325
M,594,1,83.7384,0.03326
M,595,1,83.7698,0.03327
M,596,1,83.8012,0.03329
M,597,1,83.8326,0.0333
M,598,1,83.864,0.03331
M,599,1,83.8953,0.03332
M,600,1,83.9267,0.03333
M,601,1,83.9579,0.03334
M,602,1,83.9892,0.03335
M,603,1,84.0205,0.03336
M,604,1,84.0517,0.03337
M,605,1,84.0829,0.03338
M,606,1,84.114,0.03339
M,607,1,84.1452,0.0334
M,608,1,84.1763,0.03341
M,609,1,84.2074,0.03342
M,610,1,84.2385,0.03344
M,611,1,84.2695,0.03345
M,612,1,84.3006,0.03346
M,613,1,84.3316,0.03347
M,614,1,84.3626,0.03348
M,615,1,84.3935,0.03349
M,616,1,84.4245,0.0335
M,617,1,84.4554,0.03351
M,618,1,84.4862,0.03352
M,619,1,84.5171,0.03353
M,620,1,84.5479,0.03354
M,621,1,84.5787,0.03356
M,622,1,84.6095,0.03357
M,623,1,84.6403,0.03358
M,624,1,84.671,0.03359
M,625,1,84.7017,0.0336
M,626,1,84.7324,0.03361
M,627,1,84.7631,0.03362
M,628,1,84.7937,0.03363
M,629,1,84.8243,0.03364
M,630,1,84.8549,0.03365
M,631,1,84.8855,0.03367
M,632,1,84.916,0.03368
M,633,1,84.9465,0.03369
M,634,1,84.977,0.0337
M,635,1,85.0075,0.03371
M,636,1,85.0379,0.03372
M,637,1,85.0683,0.03373
M,638,1,85.0987,0.03374
M,639,1,85.1291,0.03375
M,640,1,85.1594,0.03377
M,641,1,85.1897,0.03378
M,642,1,85.22,0.03379
M,643,1,85.2503,0.0338
M,644,1,85.2805,0.03381
M,645,1,85.3108,0.03382
M,646,1,85.341,0.03383
M,647,1,85.3711,0.03384
M,648,1,85.4013,0.03385
M,649,1,85.4314,0.03387
M,650,1,85.4615,0.03388
M,651,1,85.4916,0.03389
M,652,1,85.5217,0.0339
M,653,1,85.5517,0.03391
M,654,1,85.5817,0.03392
M,655,1,85.6117,0.03393
M,656,1,85.6417,0.03394
M,657,1,85.6716,0.03396
M,658,1,85.7015,0.03397
M,659,1,85.7314,0.03398
M,660,1,85.7613,0.03399
M,661,1,85.7912,0.034
M,662,1,85.821,0.03401
M,663,1,85.8508,0.03402
M,664,1,85.8806,0.03404
M,665,1,85.9104,0.03405
M,666,1,85.9401,0.03406
M,667,1,85.9698,0.03407
M,668,1,85.9995,0.03408
M,669,1,86.0292,0.03409
M,670,1,86.0589,0.0341
M,671,1,86.0885,0.03411
M,672,1,86.1181,0.03413
M,673,1,86.1477,0.03414
M,674,1,86.1773,0.03415
M,675,1,86.2068,0.03416
M,676,1,86.2363,0.03417
M,677,1,86.2659,0.03418
M,678,1,86.2954,0.03419
M,679,1,86.3248,0.03421
M,680,1,86.3543,0.03422
M,681,1,86.3837,0.03423
M,682,1,86.4131,0.03424
M,683,1,86.4425,0.03425
M,684,1,86.4719,0.03426
M,685,1,86.5012,0.03427
M,686,1,86.5306,0.03429
M,687,1,86.5599,0.0343
M,688,1,86.5892,0.03431
M,689,1,86.6184,0.03432
M,690,1,86.6477,0.03433
M,691,1,86.6769,0.03434
M,692,1,86.7061,0.03435
